value_label_key;value;value_label
kreuz;0;Nicht angekreuzt
kreuz;1;Angekreuzt
likert6_zutreffen;1;trifft überhaupt nicht zu
likert6_zutreffen;2;
likert6_zutreffen;3;
likert6_zutreffen;4;
likert6_zutreffen;5;
likert6_zutreffen;6;trifft voll und ganz zu
likert6_lehrp;1;keine Lehrpersonen
likert6_lehrp;2;
likert6_lehrp;3;
likert6_lehrp;4;
likert6_lehrp;5;
likert6_lehrp;6;alle Lehrpersonen
cat_ausbild;1;zweijährige Ausbildung
cat_ausbild;2;dreijährige Ausbildung
cat_ausbild;3;vierjährige Ausbildung
bm_typ;1;BM1
bm_typ;2;BM2
beginn_taet;1;Direkt nach dem Schulabschluss bis maximal 3 Monate danach
beginn_taet;2;Mehr als 3 Monate bis maximal ein halbes Jahr nach Schulabschluss
beginn_taet;3;Mehr als ein halbes bis maximal ein Jahr nach Schulabschluss
beginn_taet;4;Mehr als ein Jahr bis maximal eineinhalb Jahre nach Schulabschluss
beginn_taet;5;Mehr als eineinhalb bis maximal zwei Jahre nach Schulabschluss
beginn_taet;6;Später als zwei Jahre nach Schulabschluss
berfeld;1;In der gleichen Branche wie mein Lehrabschluss (BfS) / meine BMS-Ausbildung (BfS, BMS)
berfeld;2;In einer anderen Branche als mein Lehrabschluss (BfS) / meine BMS-Ausbildung (BfS, BMS)
berfeld;3;Industrielles, gewerbliches oder technisches Berufsfeld (Gym, FMS, HMS/WMS/IMS)
berfeld;4;Kaufmännisches Berufsfeld (Gym, FMS, HMS/WMS/IMS)
berfeld;5;Gesundheitliches oder soziales Berufsfeld (Gym, FMS, HMS/WMS/IMS)
berfeld;6;Gestalterisches Berufsfeld (Gym, FMS, HMS/WMS/IMS)
berfeld;7;Sonstiges, nämlich (Gym, FMS, HMS/WMS/IMS)
sbfi_berufe;51914;Abdichter EFZ (Berufsfeld Gebäudehülle)
sbfi_berufe;51919;Abdichtungspraktiker EBA (Berufsfeld Gebäudehülle)
sbfi_berufe;15008;Agrarpraktiker EBA
sbfi_berufe;44727;Anlagen- und Apparatebauer EFZ
sbfi_berufe;44702;Anlagenführer EFZ
sbfi_berufe;40105;Apparateglasbläser EFZ
sbfi_berufe;54603;Architekturmodellbauer EFZ
