datensatz;variable;oberthema;unterthema;umfrage_item;itemformulierung;var_typ;umfrage_filter;skalen_berechnung;quelle;status;value_label_key
qm_sekII;Abb_and;Werdegang;;Welche Aussage trifft auf Sie zu? (Mehrfachnennungen möglich) Ich habe …;eine andere Ausbildung/Tätigkeit abgebrochen;Item-Gruppe: Art von abgebrochener Ausbildung/Tätigkeit;Abbruch = 1;;Eigenkonstruktion des IVM/des IFES;aktiv;kreuz
qm_sekII;Abb_beru;Werdegang;;Welche Aussage trifft auf Sie zu? (Mehrfachnennungen möglich) Ich habe …;die Erwerbstätigkeit im erlernten Beruf abgebrochen;Item-Gruppe: Art von abgebrochener Ausbildung/Tätigkeit;Abbruch = 1;;Eigenkonstruktion des IVM/des IFES;aktiv;kreuz
qm_sekII;Abb_bms;Werdegang;;Welche Aussage trifft auf Sie zu? (Mehrfachnennungen möglich) Ich habe …;die Berufsmaturitätsschule abgebrochen;Item-Gruppe: Art von abgebrochener Ausbildung/Tätigkeit;Abbruch = 1;;Eigenkonstruktion des IVM/des IFES;aktiv;kreuz
qm_sekII;Abb_firma;Werdegang;;Welche Aussage trifft auf Sie zu? (Mehrfachnennungen möglich) Ich habe …;eine firmeninterne Ausbildung abgebrochen;Item-Gruppe: Art von abgebrochener Ausbildung/Tätigkeit;Abbruch = 1;;Eigenkonstruktion des IVM/des IFES;aktiv;kreuz
qm_sekII;Abb_lehre;Werdegang;;Welche Aussage trifft auf Sie zu? (Mehrfachnennungen möglich) Ich habe …;eine Berufliche Grundbildung (Lehre) abgebrochen;Item-Gruppe: Art von abgebrochener Ausbildung/Tätigkeit;Abbruch = 1;;Eigenkonstruktion des IVM/des IFES;aktiv;kreuz
qm_sekII;Abb_pass;Werdegang;;Welche Aussage trifft auf Sie zu? (Mehrfachnennungen möglich) Ich habe …;die Passerelle Berufsmaturiät – universitäre Hochschule abgebrochen;Item-Gruppe: Art von abgebrochener Ausbildung/Tätigkeit;Abbruch = 1;;Eigenkonstruktion des IVM/des IFES;aktiv;kreuz
qm_sekII;Abb_prakt;Werdegang;;Welche Aussage trifft auf Sie zu? (Mehrfachnennungen möglich) Ich habe …;ein Praktikum abgebrochen;Item-Gruppe: Art von abgebrochener Ausbildung/Tätigkeit;Abbruch = 1;;Eigenkonstruktion des IVM/des IFES;aktiv;kreuz
qm_sekII;Abb_sfach;Werdegang;;Welche Aussage trifft auf Sie zu? (Mehrfachnennungen möglich) Ich habe …;das Studienfach gewechselt;Item-Gruppe: Art von abgebrochener Ausbildung/Tätigkeit;Abbruch = 1;;Eigenkonstruktion des IVM/des IFES;aktiv;kreuz
qm_sekII;Abb_stufh;Werdegang;;Welche Aussage trifft auf Sie zu? (Mehrfachnennungen möglich) Ich habe …;ein Studium an einer Fachhochschule (ohne Pädagogische Hochschule) abgebrochen;Item-Gruppe: Art von abgebrochener Ausbildung/Tätigkeit;Abbruch = 1;;Eigenkonstruktion des IVM/des IFES;aktiv;kreuz
qm_sekII;Abb_stuhf;Werdegang;;Welche Aussage trifft auf Sie zu? (Mehrfachnennungen möglich) Ich habe …;ein Studium an einer höheren Fachschule bzw. eine höhere berufliche Bildung abgebrochen;Item-Gruppe: Art von abgebrochener Ausbildung/Tätigkeit;Abbruch = 1;;Eigenkonstruktion des IVM/des IFES;aktiv;kreuz
qm_sekII;Abb_stuph;Werdegang;;Welche Aussage trifft auf Sie zu? (Mehrfachnennungen möglich) Ich habe …;ein Studium an einer Pädagogischen Hochschule abgebrochen;Item-Gruppe: Art von abgebrochener Ausbildung/Tätigkeit;Abbruch = 1;;Eigenkonstruktion des IVM/des IFES;aktiv;kreuz
